valeurnum,valeurbool,stats_date,id,accountid,createdat,updatedat,statindicateurid,buid,societeid,etablissementid,codeanalytiqueid
0.00,,2022-12-09,266470,119,2022-12-07 00:16:29.664+00,,4,,,,
0.00,,2022-12-09,266472,119,2022-12-07 00:16:29.664+00,,5,,,,
0.00,,2022-12-09,266474,119,2022-12-07 00:16:29.664+00,,6,,,,
0.00,,2022-12-09,266477,119,2022-12-07 00:16:29.664+00,,7,,,,
0.00,,2022-12-09,266480,119,2022-12-07 00:16:29.664+00,,8,,,,
1.00,,2022-12-09,266473,119,2022-12-07 00:16:29.664+00,,9,,,,
0.00,,2022-12-09,266483,119,2022-12-07 00:16:29.664+00,,10,,,,
0.00,,2022-12-09,266481,119,2022-12-07 00:16:29.664+00,,20,,,,
,,2022-12-09,266475,119,2022-12-07 00:16:29.664+00,,35,,,,
,,2022-12-09,266476,119,2022-12-07 00:16:29.664+00,,36,,,,
,,2022-12-09,266478,119,2022-12-07 00:16:29.664+00,,37,,,,
,,2022-12-09,266479,119,2022-12-07 00:16:29.664+00,,38,,,,
,,2022-12-09,266482,119,2022-12-07 00:16:29.664+00,,39,,,,
